Country,FOOD GSFI,Food Safety Score,HEALTH,GDP Capita,Education Index,Corruption,Population % That Use Sanitation Services
Burkina Faso,496,60,#N/A,#N/A,0.286,#N/A,#N/A
Tanzania,491,60,#N/A,1042.838756,0.441,32,#N/A
Benin,481,40,#N/A,#N/A,0.471,36,#N/A
Malawi,481,20,#N/A,544.5934354,0.451,31,#N/A
Uganda,477,40,#N/A,770.6007843,0.525,25,#N/A
Mozambique,473,80,#N/A,503.3179252,0.385,27,#N/A
C�te d'Ivoire,465,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,464,40,#N/A,#N/A,0.547,26,#N/A
Niger,463,20,#N/A,570.723922,0.214,35,#N/A
Togo,462,40,#N/A,901.5230169,0.506,32,#N/A
Guinea,451,40,#N/A,#N/A,0.339,27,#N/A
Ethiopia,445,40,#N/A,#N/A,0.327,34,#N/A
Angola,437,40,#N/A,#N/A,0.498,18,#N/A
Zambia,435,80,#N/A,1516.368371,0.58,#N/A,#N/A
Chad,432,20,#N/A,726.1510071,0.298,20,#N/A
Democratic Republic of Congo,430,20,#N/A,#N/A,#N/A,#N/A,#N/A
Sudan,428,80,#N/A,740.746767,0.328,14,#N/A
Venezuela,426,80,39.15,#N/A,#N/A,17,#N/A
Nigeria,420,40,48.49,2027.778549,0.483,28,#N/A
Burundi,406,40,#N/A,#N/A,0.424,20,#N/A
Madagascar,406,40,#N/A,523.9459714,0.498,26,#N/A
Sierra Leone,405,20,#N/A,533.9915333,0.39,30,#N/A
Yemen,401,40,#N/A,#N/A,0.349,14,#N/A
Haiti,385,20,#N/A,#N/A,0.433,20,#N/A
Syria,363,40,#N/A,#N/A,0.412,13,#N/A
